nucleo_sub_regional,local_recolha,data,hora,t_ar_c,hr_pct,especie,grupo,hcv
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-31,14:30,24.3,41.0,Urze,Matos atlânticos,1.3844
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-31,14:30,24.3,41.0,Herbáceas,Herbáceas,1.3232
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-31,14:30,34.0,38.7,Esteva,Matos mediterrânicos,1.0678
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-31,14:30,34.0,38.7,Giesta,Giestais,1.3951
Médio Tejo e Lezíria do tejo,Santarém,2021-05-31,14:00,29.6,49.0,Tojo,Matos atlânticos,1.26
Médio Tejo e Lezíria do tejo,Santarém,2021-05-31,14:00,29.6,49.0,P. bravo,Pinhais,1.21
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-31,14:45,28.9,46.0,Esteva,Matos mediterrânicos,1.2
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-31,14:45,28.9,46.0,Tojo,Matos atlânticos,1.62
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-02,,,,Carqueja,Matos atlânticos,
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-02,,,,Urze,Matos atlânticos,
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-02,,,,Herbáceas,Herbáceas,
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-02,,,,Tojo,Matos atlânticos,
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-02,14:15,20.6,54.0,Esteva,Matos mediterrânicos,1.7181
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-02,14:15,20.6,54.0,Tojo,Matos atlânticos,1.5863
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-02,14:15,20.6,54.0,Herbáceas,Herbáceas,1.8965
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-02,14:00,22.6,51.0,Herbáceas,Herbáceas,1.39
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-02,14:00,22.6,51.0,Carqueja,Matos atlânticos,1.447
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-02,14:00,22.6,51.0,Urze,Matos atlânticos,1.33
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-02,14:00,22.6,51.0,Tojo,Matos atlânticos,2.18
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-07,14:40,31.8,25.8,Esteva,Matos mediterrânicos,1.023
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-07,14:40,31.8,25.8,Giesta,Giestais,1.278
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-07,14:30,30.8,32.2,Carqueja,Matos atlânticos,0.9966
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-07,14:30,30.8,32.2,Urze,Matos atlânticos,1.1043
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-07,14:30,30.8,32.2,Herbáceas,Herbáceas,1.3008
Douro,Lamares - Vila Real,2021-06-07,14:30,29.0,32.0,Carqueja,Matos atlânticos,1.37
Douro,Lamares - Vila Real,2021-06-07,14:30,29.0,32.0,Urze,Matos atlânticos,1.54
Douro,Lamares - Vila Real,2021-06-07,14:30,29.0,32.0,Herbáceas,Herbáceas,1.02
AML e Alentejo Litoral,Ouressa - Sintra,2021-06-07,14:12,21.5,57.2,Urze,Matos atlânticos,1.34
AML e Alentejo Litoral,Ouressa - Sintra,2021-06-07,14:12,21.5,57.0,Tojo,Matos atlânticos,1.1
AML e Alentejo Litoral,Arrábida - Setúbal,2021-06-07,15:00,30.4,34.7,Esteva,Matos mediterrânicos,1.04
AML e Alentejo Litoral,Arrábida - Setúbal,2021-06-07,15:00,30.4,35.0,Carrasco,Matos mediterrânicos,0.75
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2021-06-07,14:15,35.6,23.5,P. bravo,Pinhais,1.27
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-06-07,14:45,32.8,22.8,Esteva,Matos mediterrânicos,1.13
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-06-07,14:45,32.8,22.8,Urze,Matos atlânticos,0.87
Médio Tejo e Lezíria do tejo,Chamusca,2021-06-07,13:40,27.8,44.6,Esteva,Matos mediterrânicos,0.96
Médio Tejo e Lezíria do tejo,Chamusca,2021-06-07,13:40,27.8,44.6,Tojo,Matos atlânticos,1.04
Médio Tejo e Lezíria do tejo,Santarém,2021-06-07,14:40,29.0,41.4,Tojo,Matos atlânticos,1.26
Médio Tejo e Lezíria do tejo,Santarém,2021-06-07,14:40,29.0,41.4,P. bravo,Pinhais,1.68
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-08,14:00,29.6,34.0,Herbáceas,Herbáceas,1.06
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-08,14:00,29.6,34.0,Carqueja,Matos atlânticos,0.83
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-08,14:00,29.6,34.0,Urze,Matos atlânticos,0.86
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-08,14:00,29.6,34.0,Tojo,Matos atlânticos,1.35
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-08,14:00,22.0,24.0,Herbáceas,Herbáceas,1.35
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-08,14:00,22.0,24.0,Carqueja,Matos atlânticos,1.6
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-08,14:00,22.0,24.0,Urze,Matos atlânticos,1.28
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-08,14:00,22.0,24.0,Tojo,Matos atlânticos,1.82
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-09,14:00,31.9,30.0,Esteva,Matos mediterrânicos,1.4567
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-09,14:00,31.9,30.0,Tojo,Matos atlânticos,1.3255
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2021-06-09,14:00,31.9,30.0,Herbáceas,Herbáceas,1.8101
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-14,14:00,30.7,39.0,Esteva,Matos mediterrânicos,0.9583
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-14,14:00,30.7,39.0,Giesta,Giestais,1.025
Douro,Lamares - Vila Real,2021-06-14,,,,,,
AML e Alentejo Litoral,Arrábida - Setúbal,2021-06-14,,,,,,
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-15,14:30,32.0,33.0,Carqueja,Matos atlânticos,0.9191
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-15,14:30,32.0,33.0,Urze,Matos atlânticos,0.9543
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-15,14:30,32.0,33.0,Herbáceas,Herbáceas,0.8963
AML e Alentejo Litoral,Arrábida - Setúbal,2021-06-21,,,,,,
AML e Alentejo Litoral,Ouressa - Sintra,2021-06-21,,,,,,
Douro,Lamares - Vila Real,2021-06-23,14:30,20.0,48.0,Carqueja,Matos atlânticos,1.27
Douro,Lamares - Vila Real,2021-06-23,14:30,20.0,48.0,Urze,Matos atlânticos,1.19
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-23,14:15,27.0,36.5,Esteva,Matos mediterrânicos,1.0833
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-23,14:15,27.0,36.5,Giesta,Giestais,1.0919
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-23,14:15,23.0,43.0,Herbáceas,Herbáceas,0.91
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-23,14:15,23.0,43.0,Carqueja,Matos atlânticos,1.14
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-23,14:15,23.0,43.0,Urze,Matos atlânticos,1.19
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-06-23,14:15,23.0,43.0,Tojo,Matos atlânticos,1.73
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-23,14:00,17.0,59.7,Carqueja,Matos atlânticos,1.53
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-23,14:00,17.0,59.7,Urze,Matos atlânticos,1.52
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-23,14:00,17.0,59.7,Tojo,Matos atlânticos,1.83
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-06-23,14:00,17.0,59.7,Herbáceas,Herbáceas,1.55
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-29,14:30,24.3,41.9,Carqueja,Matos atlânticos,0.8193
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-29,14:30,24.3,41.9,Urze,Matos atlânticos,0.936
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-06-29,14:30,24.3,41.9,Herbáceas,Herbáceas,0.7183
Alto Minho e Cávado,Vile - Caminha,2021-06-29,15:30,19.3,62.1,Carqueja,Matos atlânticos,0.997509782995374
Alto Minho e Cávado,Vile - Caminha,2021-06-29,15:30,19.3,62.1,Herbáceas,Herbáceas,1.06894447834046
Alto Minho e Cávado,Vile - Caminha,2021-06-29,15:30,19.3,62.1,Urze,Matos atlânticos,0.937194127243065
Alto Minho e Cávado,Vile - Caminha,2021-06-29,15:30,19.3,62.1,Tojo,Matos atlânticos,1.82261640798227
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2021-06-29,14:15,30.6,28.0,P. bravo,Pinhais,1.3
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-06-29,14:45,31.8,22.0,Esteva,Matos mediterrânicos,0.94
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-06-29,14:45,31.8,22.0,Urze,Matos atlânticos,0.71
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-30,14:30,29.3,28.0,Esteva,Matos mediterrânicos,0.91
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-06-30,14:30,29.3,28.0,Giesta,Giestais,1.16
Douro,Lamares - Vila Real,2021-06-30,,,,,,
AML e Alentejo Litoral,Ouressa - Sintra,2021-06-30,,,,,,
AML e Alentejo Litoral,Arrábida - Setúbal,2021-06-30,,,,,,
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-07-01,14:00,21.3,63.2,Carqueja,Matos atlânticos,1.35
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-07-01,14:00,21.3,63.2,Urze,Matos atlânticos,1.49
